건물형태, 군구분,부대구분(관리부대),단지명,시도,시군구,읍면동,리,준공연도,공급세대,면적(15)50이하,면적(24)80이하,면적(30)100이하,면적(36)120이하,면적확인불가
아파트,육군,5군단,오뚜기빌,경기도,포천시,일동면,기산리,2011,104,,52,48,4,
아파트,육군,5군단,윤중후레쉬빌,경기도,포천시,신북면,기지리,2002,10,,10,,,
아파트,육군,5군단,이동승진아파트 3동,경기도,포천시,이동면,노곡리,2002,30,,,30,,
아파트,육군,5군단,일동승진아파트,경기도,포천시,일동면,유동리,1992,300,,60,240,,
아파트,육군,5군단,일신아파트,경기도,포천시,신읍동,,2002,17,,17,,,
연립,육군,5사단,07. 가온누리 24평,경기도,연천군,전곡읍,전곡리,2006,24,,24,,,
아파트,육군,5사단,"20. 금강아미움 24평, 21. 금강아미움 34평",강원도,철원군,동송읍,이평리,2008,44,,13,,31,
아파트,육군,5사단,18. 석미한아름 아파트 24평,경기도,연천군,전곡읍,전곡리,2002,12,,12,,,
아파트,육군,5사단,19. 석미모닝파크 아파트 28평,경기도,연천군,전곡읍,전곡리,2006,15,,,15,,
아파트,육군,5사단,"01. 연천 I-PARK 24평, 02. 연천 I-PARK 28평",경기도,연천군,연천읍,통현리,2015,462,,140,195,127,
아파트,육군,5사단,16. 조흥아파트 25평,경기도,연천군,연천읍,옥산리,1996,34,,,34,,
아파트,육군,5사단,18. 석미한아름 아파트 24평,경기도,연천군,전곡읍,전곡리,2002,10,,10,,,
연립,육군,5사단,17. 태창그린빌리지 22평,경기도,연천군,청산면,초성리,2003,5,,5,,,
아파트,육군,5사단,"04. 푸르미아르미소 25평, 31평, 40평",경기도,연천군,전곡읍,은대리,2012,296,,,36,250,10
연립,육군,5사단,02-1B. 하이파이브 아파트 (가동),경기도,연천군,신서면,도신리,1983,30,30,,,,
연립,육군,5사단,02-1B. 하이파이브 아파트 (나동),경기도,연천군,신서면,도신리,1983,30,,30,,,
연립,육군,5사단,"한아름 아파트(12동 24평, 13동 24평, 14동 24평)",경기도,연천군,전곡읍,은대리,2002,90,,90,,,
아파트,육군,28보병사단,4호 관사(봉암리),경기도,양주시,봉암리,,1989,1,,,,,1
아파트,육군,28보병사단,베스트 그린 28 2단지,경기도,동두천시,상패동,,1989,40,,30,10,,
아파트,육군,28보병사단,동두천 동남 아파트,경기도,동두천시,상패동,,1993,17,,17,,,
아파트,육군,28보병사단,동두천 현성 아파트,경기도,동두천시,지행동,,1993,12,,12,,,
아파트,육군,28보병사단,양주 덕정 주공아파트,경기도,양주시,덕정동,,2000,41,,4,37,,
아파트,육군,28보병사단,베스트 그린 28 쌍용아파트,경기도,연천군,전곡읍,전곡리,1994,54,,54,,,
아파트,육군,28보병사단,베스트 그린 28 태풍아파트,경기도,연천군,전곡읍,은대리,2003,89,,89,,,
아파트,육군,28보병사단,전곡 석미 아파트,경기도,연천군,전곡읍,전곡리,2002,10,,7,,3,
아파트,육군,1군단,덕정주공5단지,경기도,양주시,덕정동,,2000,25,6,19,,,
아파트,육군,1군단,푸른마을아파트101동,경기도,양주시,은현면,용암리,2014,16,,,16,,
아파트,육군,1군단,푸른마을아파트102동,경기도,양주시,은현면,용암리,2014,8,,,8,,
아파트,육군,1군단,푸른마을아파트,경기도,양주시,은현면,용암리,1991,27,27,,,,
연립,육군,6공병여단,관사,경기도,양주시,남방동,,1983,5,4,,,,1
연립,육군,6공병여단,관사,경기도,연천군,청산면,초성리,1983,1,,,,,1
아파트,육군,6군단,덕정주공아파트,경기도,양주시,덕정동,,2000,51,,8,43,,
아파트,육군,6군단,동화아파트,경기도,양주시,백석읍,,2004,5,,5,,,
아파트,육군,6군단,산호아파트,경기도,포천시,신북면,,2002,34,,,34,,
아파트,육군,6군단,성우헤스티아,경기도,양주시,광적면,,2004,13,,13,,,
아파트,육군,6군단,세아청솔,경기도,양주시,백석읍,,2004,1,,1,,,
